644.nab_s-12521B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.804978
644.nab_s-5853B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.647318
644.nab_s-7928B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.612969
644.nab_s-9322B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.583599
648.exchange2_s-1227B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.857179
648.exchange2_s-1247B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.929178
648.exchange2_s-1511B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.880476
648.exchange2_s-1699B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.905514
648.exchange2_s-1712B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.950762
648.exchange2_s-210B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.927767
648.exchange2_s-353B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.911909
648.exchange2_s-387B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.739826
648.exchange2_s-584B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.909813
648.exchange2_s-72B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.894854
649.fotonik3d_s-10881B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.475429
649.fotonik3d_s-1176B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.944306
649.fotonik3d_s-1B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.483362
649.fotonik3d_s-7084B.champsimtrace.xz     CPU 0 ,cumulative IPC: 1.14086
649.fotonik3d_s-8225B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.945587
654.roms_s-1007B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.570646
654.roms_s-1021B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.682299
654.roms_s-1070B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.841729
654.roms_s-1390B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.76739
654.roms_s-1613B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.633827
654.roms_s-293B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.960536
654.roms_s-294B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.926653
654.roms_s-523B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.844701
654.roms_s-842B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.642438
657.xz_s-2302B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.63952
657.xz_s-3167B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.835801
657.xz_s-4994B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.893902
657.xz_s-56B.champsimtrace.xz     CPU 0 ,cumulative IPC: 0.991677
