619.lbm_s-2677B.champsimtrace.xzcumulative,IPC:,0.448447,0.695251,593816,7119603,2986060,,2574950,3703630,892244,892240,2811390,1682710,0.99999551692138,0.598533109956285,0.695250335481676
619.lbm_s-3766B.champsimtrace.xzcumulative,IPC:,0.544091,0.703785,493652,6042271,2229200,,1924790,2734910,631988,631984,2102920,1292800,0.999993670765901,0.614764232590874,0.703785499340015
619.lbm_s-4268B.champsimtrace.xzcumulative,IPC:,0.447208,0.695279,600318,7121767,2987910,,2575050,3703620,891033,891031,2812590,1684020,0.999997755414221,0.598743506874447,0.695279213310221
620.omnetpp_s-141B.champsimtrace.xzcumulative,IPC:,0.231385,0.16998,71825,243911,2110420,,50197,295311,1079,518,294232,49679,0.480074142724745,0.168842953859539,0.169980122650358
620.omnetpp_s-874B.champsimtrace.xzcumulative,IPC:,0.243685,0.271052,102281,365105,2300760,,106844,394182,2221,1137,391961,105707,0.511931562359298,0.269687545444572,0.271052458001634
621.wrf_s-575B.champsimtrace.xzcumulative,IPC:,0.568104,0.616751,254,2989,1803,,1215,1970,247,242,1723,973,0.979757085020243,0.564712710388857,0.616751269035533
621.wrf_s-6673B.champsimtrace.xzcumulative,IPC:,0.785507,0.646331,3250346,7506003,3677890,,2426640,3754490,1505380,1481700,2249110,944941,0.984269752487744,0.420139966475628,0.646330127394133
621.wrf_s-8065B.champsimtrace.xzcumulative,IPC:,0.845643,0.669133,2293042,4367688,2923330,,1686510,2520440,1166970,1145150,1353470,541362,0.981302004336015,0.399980790117254,0.66913316722477
621.wrf_s-8100B.champsimtrace.xzcumulative,IPC:,0.643729,0.813882,780406,102665,560878,,53997,66345,17652,16462,48693,37535,0.932585542714707,0.770850019509991,0.813881980556184
623.xalancbmk_s-10B.champsimtrace.xzcumulative,IPC:,0.291802,0.314767,462558,2741976,6309830,,1028100,3266220,116621,93558,3149600,934540,0.802239733838674,0.296717043434087,0.314767529437699
623.xalancbmk_s-165B.champsimtrace.xzcumulative,IPC:,0.586838,0.613146,2331647,3393370,4936600,,2467370,4024110,936591,891879,3087520,1575490,0.95226091218045,0.510276856506193,0.613146757916657
623.xalancbmk_s-202B.champsimtrace.xzcumulative,IPC:,0.545106,0.694169,1632338,14148505,6278950,,4476910,6449300,1982120,1978090,4467180,2498820,0.997966823401207,0.559373027278955,0.694169909912704
623.xalancbmk_s-325B.champsimtrace.xzcumulative,IPC:,0.449308,0.332548,3249829,2042928,7590840,,36565,109954,19936,11880,90018,24685,0.595906902086677,0.27422293319114,0.33254815650181
623.xalancbmk_s-592B.champsimtrace.xzcumulative,IPC:,0.423388,0.227887,5017707,2263952,10156900,,47688,209262,99713,28673,109549,19015,0.287555283664116,0.173575295073437,0.227886572813029
623.xalancbmk_s-700B.champsimtrace.xzcumulative,IPC:,0.393993,0.17351,5475920,2464655,11045400,,38084,219492,110470,19857,109022,18227,0.179750158414049,0.167186439434243,0.17350974067392
625.x264_s-12B.champsimtrace.xzcumulative,IPC:,1.11726,0.782501,49365,90117,86908,,38251,48883,12754,12571,36129,25680,0.98565156029481,0.710786348916383,0.782501073993004
625.x264_s-18B.champsimtrace.xzcumulative,IPC:,1.13729,0.663511,73733,82685,116401,,57884,87239,24616,24447,62623,33437,0.993134546636334,0.533941203711097,0.663510585861828
625.x264_s-20B.champsimtrace.xzcumulative,IPC:,1.15322,0.702197,95188,489553,294791,,153060,217973,71586,71033,146387,82027,0.992275025843042,0.560343473122613,0.702197061103898
625.x264_s-33B.champsimtrace.xzcumulative,IPC:,1.12488,0.710712,27481,68159,69809,,36171,50894,11152,11022,39742,25149,0.988342898134864,0.632806602586684,0.710712461193854
625.x264_s-39B.champsimtrace.xzcumulative,IPC:,1.23118,0.734237,170332,503877,292431,,125976,171574,55983,55075,115591,70901,0.983780790597145,0.613378204185447,0.734237122174689
