619.lbm_s-2677B.champsimtrace.xzcumulative,IPC:,0.275062,0.713321,611422,3572942,,,6587860,12800200,6184290,6110370,6615930,477490,6626370,9899720,5571400,4328320,17722300,13264500,4457770,7592510
619.lbm_s-3766B.champsimtrace.xzcumulative,IPC:,0.489007,0.616172,625562,3466455,,,626014,1103480,424136,380294,679344,245720,680574,3820810,3581610,239200,671362,596740,74622,14840000
619.lbm_s-4268B.champsimtrace.xzcumulative,IPC:,0.28607,0.489444,629844,3159074,,,5109020,7764270,3301570,3092420,4462700,2016600,4501750,16875300,13918800,2956540,7402220,7305130,97090,18331000
620.omnetpp_s-141B.champsimtrace.xzcumulative,IPC:,0.230184,0.85388,800010,2337636,,,447488,701892,246833,239639,455059,207849,466880,4845060,4678270,166798,739293,556566,182727,5841250
620.omnetpp_s-874B.champsimtrace.xzcumulative,IPC:,0.143317,0.513518,687948,2243617,,,13948700,33876400,12938500,12739900,20937900,1208760,20978400,30544400,29334200,1210200,8168580,7194100,974476,38489100
621.wrf_s-575B.champsimtrace.xzcumulative,IPC:,0.568229,0.790274,841,2423,,,85646,256984,160207,69498,96777,16148,96997,33580900,33547500,33310,2216150,2182770,33381,20581200
621.wrf_s-6673B.champsimtrace.xzcumulative,IPC:,0.767652,0.554184,2871827,4833200,,,322397,853986,45915,42149,808071,280248,828452,36798,36632,166,659,263,396,5025580
621.wrf_s-8065B.champsimtrace.xzcumulative,IPC:,0.868268,0.736257,3168448,7279396,,,3448480,5321510,1320710,1189150,4000800,2259320,4192850,15948400,4425310,11523100,16510500,11814200,4696220,17049400
621.wrf_s-8100B.champsimtrace.xzcumulative,IPC:,0.64374,0.567309,1208021,214932,,,11634600,21410500,10517500,10409100,10893000,1225480,10968500,15374500,9157720,6216810,22496300,16689400,5806910,16478700
623.xalancbmk_s-10B.champsimtrace.xzcumulative,IPC:,0.294765,0.430505,1122669,4345413,,,1975470,3678610,970356,882506,2708250,1092960,3131870,1167450,775617,391837,784218,175860,608358,15671400
623.xalancbmk_s-165B.champsimtrace.xzcumulative,IPC:,0.65691,0.658017,6055470,4295005,,,8409990,15445900,7347250,7297090,8098620,1112900,8189050,9205420,5643710,3561710,19584400,15984400,3599980,15638800
623.xalancbmk_s-202B.champsimtrace.xzcumulative,IPC:,0.588752,0.909476,2219105,18148206,,,15796600,21621500,13592000,13265200,8029520,2531460,9259780,39831000,8453350,31377600,84816900,83427700,1389160,57283700
623.xalancbmk_s-325B.champsimtrace.xzcumulative,IPC:,0.44933,0.82813,5702475,2684078,,,8084690,13066200,5327690,5154760,7738480,2929930,9119860,26083800,6261470,19822300,49198500,40746900,8451620,27471400
623.xalancbmk_s-592B.champsimtrace.xzcumulative,IPC:,0.417588,0.411751,8953509,4418902,,,12683900,13714000,11705500,11411000,2008520,1272860,2015000,939886,711813,228073,617065,421076,195989,96286800
623.xalancbmk_s-700B.champsimtrace.xzcumulative,IPC:,0.389418,0.53617,8092150,4450015,,,9986990,18862400,9533610,9456330,9328750,530662,9332500,935161,930282,4879,123800,83798,40002,15050900
625.x264_s-12B.champsimtrace.xzcumulative,IPC:,1.10097,0.419564,38434,58179,,,11827500,20213200,9123910,8943580,11089300,2883940,11162100,88091,87945,146,3369,2072,1297,26995800
625.x264_s-18B.champsimtrace.xzcumulative,IPC:,1.05301,0.580499,1422563,261627,,,931071,1124300,175880,150532,948425,780539,956218,13807300,13420900,386371,3341250,3009950,331301,58787900
625.x264_s-20B.champsimtrace.xzcumulative,IPC:,1.14388,0.664552,170391,420644,,,3825620,6489020,2342470,1774530,4146550,2051090,4515930,3380730,2823120,557613,1155530,538617,616912,47767900
625.x264_s-33B.champsimtrace.xzcumulative,IPC:,1.03713,0.589553,40240,27774,,,12803100,21148800,6938680,6880670,14210100,5922480,14843700,3710760,1752890,1957870,6478150,4286540,2191610,17476200
625.x264_s-39B.champsimtrace.xzcumulative,IPC:,1.21163,0.71954,847115,436832,,,10316300,19355700,9348950,9248020,10006800,1068260,10083000,1118270,1043980,74296,279606,189267,90339,16922900
627.cam4_s-490B.champsimtrace.xzcumulative,IPC:,0.81193,0.818418,7488224,4814525,,,1468590,5949100,589766,433839,5359340,1034750,5463120,15253800,14879000,374795,1459250,1067600,391650,39154200
627.cam4_s-573B.champsimtrace.xzcumulative,IPC:,0.670759,0.507523,1197212,216206,,,10923500,19712400,8290460,7896890,11422000,3026640,11446000,61116600,57316700,3799940,14497900,11671200,2826720,55688900
628.pop2_s-17B.champsimtrace.xzcumulative,IPC:,0.664076,0.605639,2258329,1124474,,,963062,1893440,929672,920931,963773,42131,964613,102345,50436,51909,245959,193359,52600,1051080
631.deepsjeng_s-928B.champsimtrace.xzcumulative,IPC:,0.546382,0.671976,146834,63188,,,398236,784666,272610,215547,512056,182689,521999,8177190,6172780,2004400,4123270,2266050,1857220,14662300
638.imagick_s-10316B.champsimtrace.xzcumulative,IPC:,1.69302,0.333274,6029165,510157,,,9111550,19841500,8788440,8528720,11053100,582833,11167800,1548860,754057,794801,5297390,4502350,795035,22936100
638.imagick_s-4128B.champsimtrace.xzcumulative,IPC:,1.36257,0.50863,20522,102679,,,15921300,22319900,14836900,14594200,7483020,1327130,7843660,29889100,20098500,9790520,19698300,10096800,9601550,51721600
