600.perlbench_s-210B.champsimtrace.xzcumulative IPC: 0.70834 0.264194 12288 7253   4672 17684 8873 4608 8811 64 8812 33178 19696 13482 14690 1868 12822
600.perlbench_s-1273B.champsimtrace.xzcumulative IPC: 0.695564 0.28297 15464 11146   7145 25250 12563 7036 12687 109 12687 37738 18994 18744 20124 1947 18177
602.gcc_s-1850B.champsimtrace.xzcumulative IPC: 0.37438 0.488794 5597912 3534898   4.30237e+06 8.80202e+06 4.40386e+06 4.30096e+06 4.39816e+06 1418 4.39816e+06 1.04175e+07 6.77942e+06 3.63804e+06 3.65092e+06 21034 3.62988e+06
602.gcc_s-2375B.champsimtrace.xzcumulative IPC: 0.377186 0.450852 3084794 738511   531657 1.17923e+06 955954 500909 223274 30748 223299 6.13772e+06 5.03536e+06 1.10236e+06 1.35224e+06 1.06433e+06 287905
600.perlbench_s-570B.champsimtrace.xzcumulative IPC: 0.539757 0.215892 1845870 471103   155278 719239 438337 142021 280902 13257 280934 3.4459e+06 2.78866e+06 657239 752418 352929 399489
602.gcc_s-2226B.champsimtrace.xzcumulative IPC: 0.3612 0.483426 15240557 14027709   1.69139e+07 3.49875e+07 1.74707e+07 1.69092e+07 1.75168e+07 4717 1.75168e+07 2.9259e+07 1.48199e+07 1.4439e+07 1.44806e+07 34145 1.44465e+07
603.bwaves_s-1080B.champsimtrace.xzcumulative IPC: 0.917363 0.494549 1606 1335   7939 16053 8029 7939 8024 0 8024 30236 15375 14861 28314 13465 14849
603.bwaves_s-3699B.champsimtrace.xzcumulative IPC: 0.883683 0.494591 4308 3456   12389 25049 12531 12389 12518 0 12518 43254 22171 21083 38605 17563 21042
603.bwaves_s-2609B.champsimtrace.xzcumulative IPC: 1.11946 0.498485 4917590 3604041   4.48104e+06 8.98932e+06 4.48114e+06 4.48104e+06 4.50818e+06 0 4.50818e+06 9.0149e+06 5.21435e+06 3.80055e+06 3.89803e+06 97484 3.80054e+06
603.bwaves_s-1740B.champsimtrace.xzcumulative IPC: 1.11611 0.498477 4916750 3604191   4.48096e+06 8.98929e+06 4.4811e+06 4.48096e+06 4.5082e+06 0 4.5082e+06 9.01404e+06 5.21346e+06 3.80058e+06 3.89807e+06 97500 3.80057e+06
603.bwaves_s-2931B.champsimtrace.xzcumulative IPC: 1.02933 0.53034 2658214 1686167   2.12254e+06 4.00222e+06 2.12382e+06 2.12118e+06 1.8784e+06 1352 1.8784e+06 7.42065e+06 4.50735e+06 2.9133e+06 4.10599e+06 1.37907e+06 2.72692e+06
602.gcc_s-734B.champsimtrace.xzcumulative IPC: 0.396419 0.464612 3934519 1962912   2.18177e+06 4.69589e+06 2.35395e+06 2.17935e+06 2.34194e+06 2417 2.34196e+06 7.53833e+06 5.49801e+06 2.04032e+06 2.08154e+06 59032 2.02251e+06
603.bwaves_s-891B.champsimtrace.xzcumulative IPC: 0.949813 0.499434 4320468 3770776   5.00482e+06 1.0021e+07 5.00523e+06 5.00482e+06 5.01576e+06 2 5.01576e+06 8.18156e+06 4.3202e+06 3.86136e+06 3.86136e+06 963 3.8604e+06
603.bwaves_s-5359B.champsimtrace.xzcumulative IPC: 0.899617 0.488158 1465 1158   3916 8022 4031 3914 3991 2 3991 26189 13336 12853 24405 11587 12818
605.mcf_s-1152B.champsimtrace.xzcumulative IPC: 0.286594 0.447171 5266098 5640843   5.01664e+06 1.12186e+07 5.6349e+06 4.79455e+06 5.58372e+06 222092 5.58377e+06 2.01498e+07 7.90395e+06 1.22458e+07 1.35578e+07 7.19601e+06 6.36176e+06
605.mcf_s-1536B.champsimtrace.xzcumulative IPC: 0.160893 0.206258 11522940 6524980   1.27734e+06 6.19296e+06 5.34892e+06 1.21018e+06 844031 67169 844360 2.7046e+07 1.57274e+07 1.13186e+07 1.70273e+07 1.13115e+07 5.7158e+06
605.mcf_s-1644B.champsimtrace.xzcumulative IPC: 0.153667 0.443063 7447729 7609818   6.72678e+06 1.51824e+07 8.00464e+06 6.57416e+06 7.17779e+06 152616 7.18009e+06 4.33339e+07 2.52712e+07 1.80628e+07 3.55527e+07 2.01909e+07 1.53618e+07
605.mcf_s-1554B.champsimtrace.xzcumulative IPC: 0.194588 0.327763 30850921 38118655   2.73227e+07 8.33611e+07 3.7355e+07 2.73207e+07 4.60061e+07 2012 4.60061e+07 6.25672e+07 2.22239e+07 4.03434e+07 4.08998e+07 562248 4.03375e+07
605.mcf_s-665B.champsimtrace.xzcumulative IPC: 0.327833 0.49932 2142478 1843119   2.13234e+06 4.2705e+06 2.25658e+06 1.90425e+06 2.01391e+06 228093 2.01393e+06 1.01631e+07 5.49666e+06 4.66645e+06 5.31498e+06 3.09461e+06 2.22037e+06
605.mcf_s-994B.champsimtrace.xzcumulative IPC: 0.269781 0.153405 4426754 3928276   1.11846e+06 7.29089e+06 3.42512e+06 956694 3.86577e+06 161763 3.86757e+06 1.18793e+07 5.16068e+06 6.7186e+06 7.88455e+06 2.3e+06 5.58455e+06
607.cactuBSSN_s-2421B.champsimtrace.xzcumulative IPC: 1.01633 0.532737 10397805 3892532   2.37448e+06 4.45713e+06 2.95493e+06 2.31222e+06 1.50221e+06 62263 1.50221e+06 3.55127e+07 3.26142e+07 2.89843e+06 4.30413e+06 2.76542e+06 1.53871e+06
